Steps,Return_1k,Return_10k,Label,Gamma
3600000,2934.956490037201,29975.531899110258,TRPO_gamma_0.999,0.999
3704000,2969.0892103189917,30648.814694093697,TRPO_gamma_0.999,0.999
3800000,2917.9429511182398,30060.30376413365,TRPO_gamma_0.999,0.999
3904000,2992.8461899695335,30590.26577748588,TRPO_gamma_0.999,0.999
4000000,2982.2425007101115,28764.925718836475,TRPO_gamma_0.999,0.999
4104000,2992.572482616981,30059.771425089344,TRPO_gamma_0.999,0.999
4200000,3093.0044007209895,31368.80611839349,TRPO_gamma_0.999,0.999
4304000,3231.1772616292724,32918.462399923716,TRPO_gamma_0.999,0.999
4400000,3143.260554022961,32137.702220919433,TRPO_gamma_0.999,0.999
4504000,3156.560755049777,32299.71887313162,TRPO_gamma_0.999,0.999
4600000,3120.209111413137,31925.19729063822,TRPO_gamma_0.999,0.999
4704000,3091.382282619398,31370.574722498084,TRPO_gamma_0.999,0.999
4800000,3055.7790242190354,31265.588565822756,TRPO_gamma_0.999,0.999
4904000,3055.347499559829,31121.779671345615,TRPO_gamma_0.999,0.999
5000000,3047.1800250088795,30973.826646220474,TRPO_gamma_0.999,0.999
5104000,3125.54814869689,31837.077929327723,TRPO_gamma_0.999,0.999
5200000,3166.2231540666407,32310.284961133228,TRPO_gamma_0.999,0.999
5304000,3248.953587019334,32942.67049548144,TRPO_gamma_0.999,0.999
5400000,3196.7745503376063,31060.93471216935,TRPO_gamma_0.999,0.999
5504000,3168.965507627866,32110.975103041426,TRPO_gamma_0.999,0.999
5600000,3209.828954670709,32649.26615367727,TRPO_gamma_0.999,0.999
5704000,3191.1730465479063,32107.90305067014,TRPO_gamma_0.999,0.999
5800000,3232.9189534771367,33001.37085484282,TRPO_gamma_0.999,0.999
5904000,3263.16491433682,30221.935709250578,TRPO_gamma_0.999,0.999
6000000,3258.1726007233474,33180.560491869,TRPO_gamma_0.999,0.999
6104000,3337.4514163864646,34121.82858539945,TRPO_gamma_0.999,0.999
6200000,3354.9918555190925,32839.24681354541,TRPO_gamma_0.999,0.999
6304000,3323.082142923301,33943.73725340278,TRPO_gamma_0.999,0.999
6400000,3319.0357266170527,33927.184372680065,TRPO_gamma_0.999,0.999
6504000,3353.2063289194716,34443.97642266314,TRPO_gamma_0.999,0.999
6600000,3353.872327206444,34415.281733714975,TRPO_gamma_0.999,0.999
6704000,3405.1904726875523,34811.801370288056,TRPO_gamma_0.999,0.999
6800000,3370.541236584641,34249.92927424264,TRPO_gamma_0.999,0.999
6904000,3371.536411118957,34352.64287110102,TRPO_gamma_0.999,0.999
7000000,3368.574187405812,34512.192511452406,TRPO_gamma_0.999,0.999
7104000,3389.6924052487057,34244.84945000346,TRPO_gamma_0.999,0.999
7200000,3406.098506819937,33029.13631274394,TRPO_gamma_0.999,0.999
7304000,3323.800269421636,34206.64880879519,TRPO_gamma_0.999,0.999
7400000,3333.3042354840327,34060.36942739562,TRPO_gamma_0.999,0.999
7504000,3246.111274301352,33144.266879884686,TRPO_gamma_0.999,0.999
7600000,3249.730547873919,33394.55237327398,TRPO_gamma_0.999,0.999
7704000,3314.630598258844,32437.917650343723,TRPO_gamma_0.999,0.999
7800000,3235.9698310288113,33143.333327087166,TRPO_gamma_0.999,0.999
7904000,3256.508643555281,33104.363326482395,TRPO_gamma_0.999,0.999
8000000,3284.163291578495,33510.616628116215,TRPO_gamma_0.999,0.999
8104000,3312.272930925649,33673.27095648853,TRPO_gamma_0.999,0.999
8200000,3313.772914485511,33938.93810713261,TRPO_gamma_0.999,0.999
8304000,3398.212947350234,34611.06699739744,TRPO_gamma_0.999,0.999
8400000,3428.051147831776,35258.75257075619,TRPO_gamma_0.999,0.999
8504000,3499.9563721006803,35780.92144994706,TRPO_gamma_0.999,0.999
8600000,3530.185170644494,36044.104614532414,TRPO_gamma_0.999,0.999
8704000,3525.545864097667,35910.63129087165,TRPO_gamma_0.999,0.999
8800000,3506.0579905789245,35677.7803316658,TRPO_gamma_0.999,0.999
8904000,3582.3954517463376,36115.83596534196,TRPO_gamma_0.999,0.999
9000000,3567.4272180039816,36451.61670293166,TRPO_gamma_0.999,0.999
9104000,3553.7392166802865,35182.62384617525,TRPO_gamma_0.999,0.999
9200000,3617.4205527087383,33095.13942764606,TRPO_gamma_0.999,0.999
9304000,3638.7955101151047,33584.18693679992,TRPO_gamma_0.999,0.999
9400000,3532.2325428241493,34169.86849903203,TRPO_gamma_0.999,0.999
9504000,3507.585092125892,36439.67478784242,TRPO_gamma_0.999,0.999
9600000,3246.8270479593257,36964.41343538133,TRPO_gamma_0.999,0.999
9704000,3653.5063094691163,37254.31347915703,TRPO_gamma_0.999,0.999
9800000,3445.188385698742,33273.57508132768,TRPO_gamma_0.999,0.999
9904000,3581.0281734005703,36429.75457308417,TRPO_gamma_0.999,0.999
10000000,3595.8435018579994,36843.80202288944,TRPO_gamma_0.999,0.999
104000,-0.6059950695480572,40.19951568888566,TRPO_gamma_0.9999,0.9999
200000,58.32335217965209,860.9060152089136,TRPO_gamma_0.9999,0.9999
304000,630.6196948676961,4477.888310036602,TRPO_gamma_0.9999,0.9999
400000,1380.0262092237965,9716.873591258076,TRPO_gamma_0.9999,0.9999
504000,1778.7197347785889,13637.439565027098,TRPO_gamma_0.9999,0.9999
600000,1308.1060097723407,4894.048655068969,TRPO_gamma_0.9999,0.9999
704000,848.141623552349,2505.82503999658,TRPO_gamma_0.9999,0.9999
800000,1757.5263051165207,16748.52280259251,TRPO_gamma_0.9999,0.9999
904000,1616.6343199066098,16116.30862388248,TRPO_gamma_0.9999,0.9999
1000000,1687.602218257602,16941.137432187094,TRPO_gamma_0.9999,0.9999
1104000,1934.6304535644108,19280.756883911014,TRPO_gamma_0.9999,0.9999
1200000,1948.601809452409,19863.992235652782,TRPO_gamma_0.9999,0.9999
1304000,1894.538567010429,19576.746540759974,TRPO_gamma_0.9999,0.9999
1400000,1946.76680270698,19825.15273074082,TRPO_gamma_0.9999,0.9999
1504000,2031.962552434224,20673.618856170244,TRPO_gamma_0.9999,0.9999
1600000,2021.4677313687403,20667.4462016544,TRPO_gamma_0.9999,0.9999
1704000,2010.3076950420636,20268.36810024795,TRPO_gamma_0.9999,0.9999
1800000,1926.1059922178563,19745.207072476824,TRPO_gamma_0.9999,0.9999
1904000,1623.7504153969387,16666.901209481992,TRPO_gamma_0.9999,0.9999
2000000,1885.513103622218,17802.763143131473,TRPO_gamma_0.9999,0.9999
2104000,1546.056465935128,16304.864919981675,TRPO_gamma_0.9999,0.9999
2200000,1509.86126184518,16160.142683957427,TRPO_gamma_0.9999,0.9999
2304000,1935.9210194333282,17801.258148320638,TRPO_gamma_0.9999,0.9999
2400000,1842.5515720891199,18185.590473986955,TRPO_gamma_0.9999,0.9999
2504000,1484.2527002523611,15353.382097414767,TRPO_gamma_0.9999,0.9999
2600000,1629.4314746058712,16491.065241379336,TRPO_gamma_0.9999,0.9999
2704000,1659.6921316573066,17167.819630409598,TRPO_gamma_0.9999,0.9999
